"Section","Title","Path","IndentLevel","FileExists","FileSizeKB","LineCount","HeaderCount","ContentRatio","LastModified","DaysSinceModified","IsBlank","IsSubstantial","IsStale","Issues"
"Idea Linking & Cross-References","Gangestad & Simpson Cross-References","research_journal/idea_linking/cross_reference_gangestad_simpson_all_sources.md","0","True","40.96","751","53","0.63","11/22/2025 11:31:39 PM","6","False","True","False",""
"Idea Linking & Cross-References","Larsen Cross-References","research_journal/idea_linking/cross_reference_larsen_all_sources.md","0","True","50.31","1041","57","0.66","11/23/2025 11:13:31 AM","6","False","True","False",""
"Daily Progress","Daily Progress (2025-11-22)","research_journal/daily/2025-11-22_progress.md","0","True","0.36","12","3","0.42","11/22/2025 3:49:59 PM","6","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Daily Progress","Daily Progress (2025-11-23)","research_journal/daily/2025-11-23_progress.md","0","True","0.05","7","3","0.29","11/23/2025 9:17:02 PM","5","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Reference Materials","Literature Sources","reference-materials/literature-sources/README.md","0","True","0.02","2","1","0","11/29/2025 11:33:02 AM","0","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Bibliography & References","Bibliography Overview","bibliography/bibliography-alphabetical.md","0","True","0.03","2","1","0","11/22/2025 2:39:25 PM","6","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Bibliography & References","Source Inventory","bibliography/source-inventory.md","0","True","0.02","2","1","0","11/22/2025 2:39:25 PM","6","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Research Materials","Summaries Overview","research_materials/summaries/README.md","0","True","1.8","33","8","0.48","11/21/2025 11:50:05 PM","7","False","True","False",""
"Research Materials","Thesis Outline","research_materials/thesis_outline.md","0","True","58.88","1486","134","0.72","11/20/2025 2:48:06 PM","8","False","True","False",""
"Weekly Review","Latest Weekly Review (2025-11-21)","project_management/weekly_reviews/weekly_review_2025-11-21.md","0","True","2.88","131","28","0.5","11/21/2025 5:26:38 PM","7","False","True","False",""
"Progress Summary","Dissertation Progress Summary","progress-summary/dissertation_progress_summary.md","0","True","16.69","538","63","0.62","11/28/2025 12:39:14 AM","1","False","True","False",""
